Country Name,2015,2016,2017,2018,2019,2020,2021,2022
Oman,18777.43306,18799.80845,18260.00507,18256.65315,18044.27045,17662.24284,18300.762,18856.87524
Pacific island small states,3723.875114,3818.383196,3928.690301,4000.586976,3999.47777,3544.109409,3375.900168,3602.279482
Pakistan,1421.835278,1497.168722,1542.904071,1612.835353,1626.748868,1578.429633,1650.692674,1695.956521
Palau,15761.36338,15728.77601,15069.46636,15258.82807,15244.70856,14049.89325,12086.982,
Panama,13669.55944,14099.93633,14634.84251,14922.12999,15166.8809,12307.2592,14069.87941,15388.05586
Papua New Guinea,2502.073445,2575.067512,2603.015033,2536.083188,2590.493924,2455.145342,2387.069502,2462.549091
Paraguay,5861.401895,6025.096769,6226.68542,6338.513678,6229.224895,6095.391375,6259.738739,6193.374612
Peru,6180.119268,6337.580493,6400.038232,6530.422998,6550.448015,5754.310609,6446.893739,6554.961059
Philippines,2974.296917,3130.910641,3289.472268,3439.100523,3589.613636,3195.538883,3328.042355,3527.981152
Poland,12560.05142,12936.57326,13599.81802,14408.38439,15053.23237,14774.9892,15863.23111,17117.3281
Portugal,19250.10654,19700.91,20441.4858,21057.61748,21617.41162,19802.22891,20807.52768,22125.93919
Puerto Rico,29763.4883,29961.75282,29809.2177,29687.20648,30181.27248,28138.67747,28423.81262,29752.12811
Qatar,66984.9102,64233.26221,60551.02004,60080.69655,59621.38165,58476.19943,61022.5029,63428.36409
Romania,8976.954489,9286.596151,10106.01761,10778.44835,11252.88562,10898.92142,11607.4026,12188.64246
Russian Federation,9313.021484,9313.975586,9473.1875,9739.908203,9958.469727,9714.383789,10251.67676,10030.03906
Rwanda,733.8874728,758.9369661,769.4432778,815.0341724,871.0784013,821.7338295,889.7488478,940.3650703
Samoa,4048.467113,4329.727671,4346.504591,4277.342015,4421.294546,4223.588172,3855.807933,3591.804948
San Marino,42281.81125,42935.41734,42765.69982,43277.50141,44143.04564,41415.66696,45269.47405,
Sao Tome and Principe,1292.733055,1336.347009,1368.54515,1406.103382,1412.66966,1422.948828,1420.950296,1395.157528
Saudi Arabia,20442.36606,20508.11765,20028.21365,20096.55249,19806.11547,18856.91381,19698.24471,21138.64641
Senegal,1238.1264,1281.546121,1339.568001,1384.642075,1409.970821,1391.046955,1443.325919,1465.10575
Serbia,5588.979444,5805.898062,5959.521304,6261.5257,6567.908055,6552.084391,7125.218582,7493.161802
Seychelles,14894.48578,15446.81343,15684.11279,16110.99086,16747.35542,15321.69133,16023.63192,14461.54569
Sierra Leone,581.2934118,603.408938,611.0839948,617.5295194,634.9856157,608.3381202,619.2692233,626.9020435
Singapore,55645.60686,56906.63258,59440.19971,61276.94659,61386.23615,59175.81104,67175.864,67359.78988
Sint Maarten (Dutch part),36519.99259,35818.02125,32625.21732,30149.58381,32882.18805,28030.41452,29067.58303,31782.1295
Slovak Republic,16390.88217,16687.98446,17151.65248,17818.23411,18240.99372,17617.4487,18500.41971,18877.95938
Slovenia,20890.16643,21541.17642,22563.75894,23483.52912,24142.08957,22963.93341,24786.79121,25349.75855
Solomon Islands,2134.805418,2197.988178,2210.91151,2217.817279,2203.983395,2079.560354,2019.046477,1893.104301
Somalia,507.4829155,520.0980318,547.6166859,543.9980799,543.6143913,511.8988094,512.4512395,509.0526065
South Africa,6204.929901,6185.746047,6233.187108,6253.118996,6188.703558,5748.897845,5959.443657,6022.427508
South Asia,1539.470601,1639.304468,1724.937692,1812.680792,1862.497101,1756.622647,1882.247593,1986.135029
South Asia (IDA & IBRD),1539.470601,1639.304468,1724.937692,1812.680792,1862.497101,1756.622647,1882.247593,1986.135029
South Sudan,1071.777765,,,,,,,
Spain,25754.36103,26514.32481,27239.35244,27739.86477,28087.89792,24829.64859,26391.59723,27702.7453
Sri Lanka,3990.353117,4174.636996,4427.542551,4495.710463,4458.434427,4229.749594,4331.473679,3988.08016
St. Kitts and Nevis,20025.65235,20812.06119,20817.13818,21255.15484,22138.59216,18943.1124,18788.42421,20428.41474
St. Lucia,10290.37157,10595.44925,10907.94529,11176.44082,11060.56379,8335.179528,9333.006816,10802.65572
St. Martin (French part),,,,,,,,
St. Vincent and the Grenadines,7386.746638,7730.95422,7881.430195,8152.413628,8234.282222,7948.476474,8034.727329,8460.365482
Sub-Saharan Africa,1687.100915,1663.419751,1659.662657,1659.109917,1657.355194,1582.850036,1606.909439,1623.258666
Sub-Saharan Africa (excluding high income),1685.877621,1662.160202,1658.399112,1657.829697,1656.041574,1581.674959,1605.697841,1621.987865
Sub-Saharan Africa (IDA & IBRD countries),1687.100915,1663.419751,1659.662657,1659.109917,1657.355194,1582.850036,1606.909439,1623.258666
Sudan,2226.409424,2233.061279,2176.884521,2051.979004,1950.031494,1828.150024,1746.182739,1684.630371
Suriname,8907.837258,8382.866284,8425.860679,8751.107602,8756.153812,7275.364964,7029.629939,7141.816496
Sweden,51545.48361,51955.86107,52576.81028,52983.00686,53490.35182,51952.67313,54816.00585,56029.49526
Switzerland,83806.4476,84611.09985,84967.58855,86756.60213,87123.66044,84637.01323,88520.322,90057.03594
Syria,857.4978671,812.7660886,806.0747622,802.5050623,781.3912171,754.6463283,744.6743437,
Tajikistan,970.3625997,1013.391229,1060.996877,1116.293089,1172.079123,1197.210683,1281.960911,1356.317281
Tanzania,929.7998047,959.8522949,990.6271973,1012.498962,1039.510498,1028.911865,1041.75061,1057.658325
Thailand,5708.794091,5878.75394,6099.198026,6336.239677,6453.89408,6048.100269,6127.589833,6278.35144
Timor-Leste,1322.929094,1346.550356,1284.618354,1256.903899,1528.646196,1986.883825,2059.315344,1611.468658
Togo,770.1433793,782.8961272,794.4229732,812.4575894,832.1414082,830.0472324,859.1973029,888.1756197
Tonga,4117.931047,4405.749412,4564.736876,4587.280141,4628.448013,4637.675453,4481.478352,
Trinidad and Tobago,18508.7705,17008.9733,16090.81029,15716.42973,15614.99139,14214.38682,13997.62109,14155.1748
Tunisia,3960.924849,3961.35248,4006.874087,4070.149816,4094.877941,3699.283741,3830.374262,3894.166687
Turkiye,11049.99511,11264.61457,11953.66642,12148.29425,12073.87155,12179.66117,13449.92617,14055.10556
Turkmenistan,6208.296655,6478.47003,6784.174349,7089.941805,7422.362521,7064.446507,7275.931053,7297.311054
Turks and Caicos Islands,25783.2941,26417.95734,24726.9474,25080.16449,25438.78329,18122.42502,19386.5198,20323.14878
Tuvalu,3384.383201,3584.190064,3680.083895,3718.430977,4197.242092,3976.796234,3999.761062,3988.406241
Uganda,864.1800593,875.7962531,872.1858765,896.1625319,922.0231741,918.1200979,920.5476145,934.340839
Ukraine,2124.662598,2185.317383,2246.73877,2336.976563,2425.634766,2350.400146,2452.98291,2032.850098
United Arab Emirates,41525.1389,43457.51348,43419.56374,43644.14704,43785.41727,41276.05551,42715.44017,45698.01053
United Kingdom,44964.39114,45482.17829,46373.63853,46740.55359,47240.59962,42191.91737,45889.61102,47923.48224
United States,56762.72945,57292.53878,58207.57831,59607.39366,60698.0113,58451.60672,61829.84563,62789.12792
Uruguay,16950.75317,17181.90676,17437.85492,17440.38194,17563.20794,16459.97798,17342.79106,18214.80754
Uzbekistan,2753.971058,2867.051113,2943.099206,3062.486222,3185.334555,3187.048974,3356.033255,3473.361643
Vanuatu,2643.886886,2701.592251,2802.778939,2815.587144,2838.988269,2634.243884,2589.421165,2575.930805
Venezuela,,,,,,,,
Vietnam,2595.234844,2741.052788,2903.028202,3090.772595,3288.35289,3352.060011,3409.024999,3655.462678
"Virgin Islands, United States",34007.35294,34614.74826,34435.49445,35183.23575,36328.06822,35758.79476,36925.3325,
West Bank and Gaza,3272.154324,3483.099035,3462.979861,3417.794408,3378.434621,2922.468011,3051.48607,3095.499812
Yemen,1488.416269,1313.97361,1215.752596,1194.820561,1182.507096,1057.281672,1024.569907,1017.873095
Zambia,1307.909649,1315.250562,1319.607777,1331.449244,1310.622224,1237.283303,1277.612029,1308.101838
Zimbabwe,1410.329173,1393.71701,1421.240769,1462.590279,1342.989586,1213.117057,1289.199067,1345.769082
